Module_ID,Category,Module_Name,Base_ManDays,Is_Core_Competency,Customization_Markup,Keywords
MOD_FIN_05,Finance,Tích hợp ví điện tử MoMo và ZaloPay,10,TRUE,1.2,"MoMo, ZaloPay, ví điện tử, thanh toán MoMo, pay MoMo, ZaloPay checkout, e-wallet"
MOD_FIN_06,Finance,Quản lý ví nội bộ và Tín dụng khách hàng,30,FALSE,2.0,"ví nội bộ, credit nội bộ, số dư tài khoản, ví khách hàng, điểm tiền, ví tích lũy, internal wallet"
MOD_FIN_07,Finance,Kế toán lõi và Sổ cái tổng hợp (General Ledger),45,FALSE,2.8,"kế toán lõi, sổ cái, general ledger, core accounting, bút toán, journal entry, báo cáo tài chính chuẩn mực"
MOD_CRM_01,CRM,Quản lý hồ sơ khách hàng 360 độ,15,TRUE,1.2,"hồ sơ khách hàng, customer profile, thông tin KH, lịch sử mua hàng, 360 view, danh sách khách hàng"
MOD_CRM_02,CRM,Hệ thống ticket Chăm sóc khách hàng,18,TRUE,1.2,"CSKH, chăm sóc khách hàng, ticket, hỗ trợ khách hàng, support, khiếu nại, xử lý ticket"
MOD_CRM_03,CRM,Chương trình tích điểm và Thẻ thành viên,20,TRUE,1.3,"tích điểm, loyalty, thành viên, membership, điểm thưởng, hạng thành viên, loyalty program"
MOD_CRM_04,CRM,Gửi thông báo đẩy và Email Marketing,12,TRUE,1.2,"push notification, email marketing, thông báo, gửi email hàng loạt, campaign, noti, remarketing"
MOD_CRM_05,CRM,Quản lý pipeline Cơ hội bán hàng,22,TRUE,1.3,"pipeline, cơ hội bán hàng, sales pipeline, lead, opportunity, CRM bán hàng, theo dõi deal"
MOD_CRM_06,CRM,Chatbot tư vấn và Hỗ trợ tự động AI,38,FALSE,2.2,"chatbot AI, tư vấn tự động, bot trả lời, AI support, chat tự động, virtual assistant, bot CSKH"
MOD_ANL_01,Analytics,Dashboard tổng quan doanh nghiệp,15,TRUE,1.2,"dashboard, tổng quan, báo cáo tổng hợp, KPI, overview, thống kê, bảng điều khiển"
MOD_ANL_02,Analytics,Phân tích hành vi người dùng và Phễu chuyển đổi,20,TRUE,1.3,"hành vi người dùng, funnel, phễu chuyển đổi, user behavior, conversion, tracking, heat map"
MOD_ANL_03,Analytics,Phân tích RFM và Phân khúc khách hàng,25,TRUE,1.4,"RFM, phân khúc khách hàng, customer segmentation, nhóm khách hàng, phân loại KH, recency frequency"
MOD_ANL_04,Analytics,Dự báo nhu cầu và Tối ưu tồn kho bằng AI,40,FALSE,2.3,"dự báo, AI forecast, tối ưu tồn kho, demand planning, machine learning tồn kho, AI inventory, dự đoán bán hàng"
MOD_ANL_05,Analytics,Báo cáo hiệu suất chiến dịch Marketing,14,TRUE,1.3,"báo cáo marketing, campaign report, hiệu quả quảng cáo, ROI marketing, marketing KPI, performance ads"
MOD_INT_01,Integration,Tích hợp sàn TMĐT Shopee Lazada Tiki,25,TRUE,1.4,"Shopee, Lazada, Tiki, đồng bộ sàn, tích hợp marketplace, sync đơn hàng, bán đa kênh"
MOD_INT_02,Integration,Tích hợp đối tác vận chuyển GHN GHTK J&T,18,TRUE,1.3,"GHN, GHTK, J&T, vận chuyển, tích hợp ship, tracking đơn, shipping integration"
MOD_INT_03,Integration,Tích hợp phần mềm kế toán MISA và Fast,15,TRUE,1.3,"MISA, Fast accounting, kế toán, tích hợp kế toán, đồng bộ kế toán, xuất dữ liệu kế toán"
MOD_INT_04,Integration,Tích hợp nền tảng nhắn tin Zalo OA và Meta,12,TRUE,1.2,"Zalo OA, Zalo, Facebook Messenger, Meta, tích hợp mạng xã hội, kết nối Zalo, OA Zalo"
MOD_INT_05,Integration,Tích hợp hệ thống ERP SAP và Oracle,45,FALSE,2.5,"ERP, SAP, Oracle, tích hợp ERP, kết nối ERP, enterprise integration, hệ thống lớn"
